,Name,Address,City,State,Zip,rating
366,TOWER CAFE AT TUFTS UNIVERSITY,35 PROFESSORS ROW,SOMERVILLE,MA,,3
367,CATERING AT TUFTS UNIVERSITY,1 FLETCHER WAY,MEDFORD,MA,,3
368,ACADEMY CAFE AT CALIFORNIA ACADEMY OF SCIENCES,55 MUSIC CONCOURSE DRIVE,SAN FRANCISCO,CA,94118,3
369,THE TERRACE AT CALIFORNIA ACADEMY OF SCIENCES,55 MUSIC CONCOURSE DRIVE,SAN FRANCISCO,CA,94118,3
370,EVENTS AT CALIFORNIA ACADEMY OF SCIENCES,55 MUSIC CONCOURSE DRIVE,SAN FRANCISCO,CA,94118,3
371,ROCKEFELLER MATHEY AT PRINCETON UNIVERSITY,UNIVERSITY PLACE,PRINCETON,NJ,8540,1
372,FORBES COLLEGE AT PRINCETON UNIVERSITY,ALEXANDER STREET,PRINCETON,NJ,8540,3
373,TIM HORTONS 2171,1655 18TH ST.,BRANDON,"MANITOBA, CANADA",R7A5C6,1
374,TIM HORTONS 2250,1845 MIDDLETON AVENUE,BRANDON,"MANITOBA, CANADA",R7C1A7,1
375,TIM HORTONS 2708,150 MCTAVISH AVENUE E,BRANDON,"MANITOBA, CANADA",R7A2B3,1
376,TIM HORTONS 3121,"2800 VICTORIA AVENUE, UNIT C",BRANDON,"MANITOBA, CANADA",R7B3X1,1
377,TIM HORTONS 3374,"400 FRONTAGE ROAD, BOX 1300",VIRDEN,"MANITOBA, CANADA",R0M2C0,1
378,TIM HORTONS 4369,"1570 18TH STREET, SHOPPERS MALL BRANDON",BRANDON,"MANITOBA, CANADA",R7A5C5,1
379,AROOGAS ROUTE 5,615 GREENWICH AVENUE,WARWICK,RI,2886,1
380,THE UNIVERSITY OF TEXAS AT DALLAS - DINING HALL WEST,2770 WATERVIEW PARKWAY,RICHARDSON,TX,75080,3
381,OSTERIA LEANA,76 SOUTH STREET,OYSTER BAY,NY,11771,1
382,THE REBEL MARKET AT UNIVERSITY OF MISSISSIPPI,144 JOHNSON COMMONS,UNIVERSITY,MS,38677,1
383,CATERING AT UNIVERSITY OF MISSISSIPPI,144 JOHNSON COMMONS,UNIVERSITY,MS,38677,1
384,LE BISTRO AT CULINARY INSTITUTE LENOTRE,7070 ALLENSBY STREET,HOUSTON,TX,77022,1
385,MCGAUVRAN DINING HALL AT UMASS LOWELL,71 WILDER STREET,LOWELL,MA,1854,3
386,MCMAHON DINING AT UNIVERSITY OF CONNECTICUT,2011 HILLSIDE ROAD,STORRS,CT,6269,3
387,AROOGAS 1 WEST MAIN,1 WEST MAIN STREET,PATCHOGUE,NY,11772,1
388,LENFEST CAFE AT COLUMBIA UNIVERSITY,"435 W 116TH STREET, 3RD FLOOR",NEW YORK,NY,10027,1
389,URIS DELI AT COLUMBIA UNIVERSITY,3022 BROADWAY,NEW YORK,NY,10027,1
390,BLUE JAVA COFFEE BAR BUTLER LIBRARY AT COLUMBIA UNIVERSITY,535 W 114TH STREET,NEW YORK,NY,10027,1
391,CAFE 212 AT COLUMBIA UNIVERSITY,"2920 BROADWAY, 2ND FLOOR CAMPUS LEVEL",NEW YORK,NY,10027,1
392,JOHN JAY DINING HALL AT COLUMBIA UNIVERSITY,515 W 114TH STREET,NEW YORK,NY,10027,1
393,FERRIS BOOTH AT COLUMBIA UNIVERSITY,"2920 BROADWAY, 3RD FLOOR",NEW YORK,NY,10027,1
394,BLUE JAVA CAFE MUDD HALL AT COLUMBIA UNIVERSITY,"500 W 120TH STREET, 4TH FLOOR",NEW YORK,NY,10027,1
395,JJ'S PLACE AT COLUMBIA UNIVERSITY,"515 W 114TH STREET, LOWER LEVEL",NEW YORK,NY,10027,1
396,ANCOLIE,58 WEST 8TH STREET,NEW YORK,NY,10003,4
397,THE MARKETPLACE AT DUKE UNIVERSITY,EAST CAMPUS UNION1324 CAMPUS DRIVE,DURHAM,NC,27708,3
398,ASPEN GRILLE AT COLORADO STATE UNVIERSITY,COLORADO STATE UNIVERSITY-LORY STUDENT CENTER,FORT COLLINS,CO,80523,1
399,TERRAVE AT PURCHASE COLLEGE,735 ANDERSON HILL ROAD,PURCHASE,NY,10577,1
400,PLNU DINING HALL AT POINT LOMA NAZARENE UNIVERSITY,3900 LOMALAND DRIVE,SAN DIEGO,CA,92106,1
401,MCC CAFE AT MCHENRY COUNTY COLLEGE,8900 US HIGHWAY 14,CRYSTAL LAKE,IL,60012,3
403,SHORES PARK CAFE AT THE COLUMBUS ZOO AND AQUARIUM,4850 POWELL ROAD,POWELL,OH,43065,1
404,BELLAGREEN RIVER OAKS,2305 WEST ALABAMA ST,HOUSTON,TX,77098,3
405,NORTH CAMPUS DINING AT UNIVERSITY OF CONNECTICUT,82 N. EAGLEVILLE ROAD,STORRS,CT,6269,3
406,NORTHWEST MARKETPLACE AT UNIVERSITY OF CONNECTICUT,110 N. EAGLEVILLE ROAD,STORRS,CT,6269,3
407,CROSSROADS CAFE AT UMASS LOWELL,"UNIVERSITY CROSSINGS, 220 PAWTUCKET STREET",LOWELL,MA,1854,3
408,EUREST AT LPL FINANCIAL,1055 LPL WAY,FORT MILL,SC,29715,1
409,THE GOVERNOR'S ACADEMY,1 ELM STREET,BYFIELD,MA,1922,3
410,PIEDMONT CENTRAL AT GEORGIA STATE UNIVERSITY,92 PIEDMONT AVE,ATLANTA,GA,30303,3
411,COPPER LOUNGE,"INTERCONTINENTAL LOS ANGELES CENTURY CITY, 2151 AVENUE OF THE STARS",LOS ANGELES,CA,90067,2
412,BASIL CARMEL,SAN CARLOS AVENUE BETWEEN OCEAN & 7TH,CARMEL BY THE SEA,CA,93921,3
413,RSVP CATERING,2930 PROSPERITY AVENUE,FAIRFAX,VA,22031,1
414,HEALTHY LIVING CAFE AT AMERICAN EXPRESS,200 VESEY STREET,NEW YORK,NY,10285,2
415,CATERING AT AMERICAN EXPRESS,200 VESEY STREET,NEW YORK,NY,10285,2
416,EF ACADEMY,582 COLUMBUS AVENUE,THORNWOOD,NY,10594,1
417,TERRACE DINING HALL AT AMERICAN UNIVERSITY,"4400 MASSACHUSETTS AVE NW, MARY GRAYDON CENTER",WASHINGTON,DC,20008,1
418,BADLANDS CEDAR PASS LODGE,20681 S. DAKOTA HWY. 240,INTERIOR,SD,57750,2
419,WESTTOWN SCHOOL,975 WESTTOWN ROAD,WESTCHESTER,PA,19382,4
