,name,green_rating
493,A LADYBUG ORGANIC FOODS & BELGIUM BAKERY,2
254,480 BAR,1
662,ACE & ALE TAP HOUSE,1
456,A & C VIDEO GAMES,1
457,A & J CHICAGO STYLE BAR-B-Q,2
494,A LUNCHEON TIME,2
240,4 U TEA HOUSE,2
480,A HUI HOU,2
856,AIRDRIE WOK,2
851,AIOLI KITCHEN BAR,1
802,AGO NORMA RIDLEY MEMBERS' LOUNGE,1
793,AGAVE TEQUILERIA & COCINA,1
323,5IVE LOUNGE,2
316,56TH ST DELI & MARKET,1
811,AGUA EL MANANTIAL,1
813,AGUAMENTI,1
310,5395 WEST SOUL FOOD PLACE,2
302,520 BBQ HOUSE,1
690,ACR ELOTES,2
473,A COOKIE & A CUPCAKE,1
298,505E,2
475,A COUNTRY PLACE MEXICAN FOOD,2
290,5 STAR WINGS,2
288,5 SPICE DINING,1
220,3734,1
791,AGAVE MEXICAN GRILLE,1
347,6IX BAR AND GRILL,1
506,A QUINTA,1
234,4 KINGS NORTH,2
358,7 SEAS SEAFOOD & GRILL RESTAURANT,1
884,AJ'S STEAKHOUSE,1
760,AFFOGATO TRUCK,1
723,ADDIES,1
94,1909 TAVERNE MODERNE,1
441,941 SALOON,1
574,A519 CHOCOLATE,2
615,ABC TAXI COMPANY,1
70,17TH LIQUOR BOUTIQUE,2
437,911 PIZZA,2
581,AAA BAR & RESTAURANT SUPPLY,1
971,AL MUSTAFA CATERING,2
53,157 LOUNGE,1
378,751 LOUNGE,1
386,7TH HEAVEN EATERY,1
387,7TH SISTER BAKERY,2
26,1000 GRAMMES,1
406,808 SOCIAL,2
995,AL'S EATERY & BAKERY,2
551,A&W ALL-AMERICAN FOOD,1
109,2 FAT GUYS GRILLED CHEESE,1
127,216 BISTRO,2
531,A TASTY AFFAIR,2
886,AJA SUSHI PLACE,2
510,A SIMPLE LIFE,2
518,A TASTE OF  PHO VIETNAMESE CUISINE,2
525,A TASTE OF PHILLY,2
912,AKA WINE BAR,1
128,2182 BISTRO & WINE BAR,1
530,A TASTE OF THE ISLANDS,1
641,ABSOLUTE RESTAURANT & CAFE,1
451,998 NARUTO SUSHI,1
139,24/7 COFFEE SHOP,1
636,ABRUZZO RISTORANTE,1
765,AFGHAN KABOB RESTAURANT & BAKERY,1
374,722 WORLD BIER HAUS,1
333,5TH QUARTER SPORTS BAR & GRILL,1
767,AFGHAN KEBOB CUISINE,1
759,AFFOGATO,1
770,AFGHAN VILLAGE RESTAURANT,1
353,7 LOUNGE,1
773,AFRICAN HERITAGE MARKET,2
792,AGAVE SOUTHWEST BAR AND GRILL,1
590,AB KING PIZZA,2
596,ABBEY GARDENS,1
970,AL MUNEER RESTAURANT,1
98,1922 COFFEE AND BREW,2
948,AKROPOLIS PASTRIES,1
952,AL AQSA RESTAURANT,2
955,AL CASALE RISTORANTE,1
69,1798 GRILLE,2
969,AL MANDI,1
974,AL OMDA HOOKAH LOUNGE 2,2
325,5SPICE NOODLE GARDEN,1
976,AL PIZZETTA,1
47,1311,1
982,AL TAIB GRILL,2
989,AL'S CHICAGO STYLE HOT DOGS,1
19,"100 DEGREE HOT POT, RAMEN AND BOBA",1
12,1 BROTHER'S PIZZA,1
941,AKO GREEK,2
930,AKIKO SUSHI,1
131,221 WINE BAR,1
140,24/7 CONVENIENCE,1
922,AKARI SUSHI,1
159,2U4U EXPRESS MARKET,2
164,3 BROTHERS FROM ITALY JERSEY SHORE PIZZA,1
203,32ND CAFE,1
204,330 TAKEOUT,1
210,350° BAKERY,1
232,3RD STREET SMOOTHIE BAR,2
870,AJ BAMBINO PIZZERIA,1
419,88 INTERNATIONAL MARKET,2
260,4C BROAST CHICKEN,1
846,AIKO SUSHI,1
277,5 FOOLS,2
805,AGORA GREEK MARKET,1
414,85 C SUGAR TIME,2
0,#1 FRIED RICE,1
470,A BOUNCE ABOVE THE REST,2
637,ABSINTHE PUB AND COFFEE SHOP,2
442,95 TEN,2
517,A TASTE FOR LIFE,2
681,ACME BAR & GRILL,1
452,9BACI,1
700,AD HOC,2
658,ACAPULCO MEXICAN GRILL,1
454,@TAOUK,2
714,ADAMS BURGER BAR,1
601,ABBIRAMI CATERING,1
507,A SAKURA,1
550,A&W ALL AMERICAN FOOD,1
482,A L'OS,1
610,ABC LIQUOR STORE,1
460,A & L'S FAMILY RESTAURANT,2
487,A LA JAPONAISE EXPERIENCE TERIYAKI,2
707,ADAM'S PIZZA AND WINGS,1
726,ADDLEY'S BAGEL,1
508,A SAVORY AFFAIR CUISINE AND CATERING,1
577,AA HOOKAH PIPE & VAPE,1
599,ABBIE CAKES,2
471,A CAFE,2
688,ACQUA DOLCE,2
736,ADMIRAL'S CLUB,2
534,A TOUCH OF GINGER,2
597,ABBEY MARKET GROCERY,2
535,A TOUCH OF GINGER DELIGHT,2
708,ADAM'S PLACE,1
521,A TASTE OF EUROPE,2
282,5 POINTS GRILLE,1
951,AL & JO,1
569,A1 PIZZA & WINGS,1
853,AIR CANADA CLUB,1
257,4949 LOUNGE,1
280,5 PADDLES BREWERY,1
486,A LA FINE POINTE,2
272,5 & DINER DEER VALLEY,1
256,49 STREET TAVERN,2
261,4SAISONS SUSHI,1
86,1889 CAFE,1
479,A GOGO LOUNGE,1
623,ABIE'S SMOKED MEAT & STEAK,1
622,ABESTRIX,1
268,4TH STREET PIZZA,1
835,AI DUMPLINGS,2
478,A FAMILY SECRET,2
269,4U2 SHAWARMA & STEAK,2
954,AL BAIK PIZZA & BROAST,1
571,A18,1
738,ADOBE WINE & LIQUORS,2
942,AKO INTERNATIONAL MARKET,1
857,AIRPLUS HEATING AND COOLING,1
166,3 CASTELOS GRILL HOUSE,2
